,initial_rank,rounding_rank,mode_size,kernels,time,Потоки,kappa,retry
92,25,30,45,10,3.916276693344116,1,1,7
93,25,30,45,10,2.4685475826263428,2,1,7
94,25,30,45,10,3.7715234756469727,1,1,8
95,25,30,45,10,2.366243362426758,2,1,8
96,25,30,45,10,3.8175199031829834,1,1,9
97,25,30,45,10,2.429629325866699,2,1,9
98,25,30,45,10,3.8250863552093506,1,1,10
99,25,30,45,10,2.417057991027832,2,1,10
100,25,30,45,10,3.7116386890411377,1,1,11
101,25,30,45,10,2.3237931728363037,2,1,11
102,25,30,45,10,4.699735403060913,1,1,12
103,25,30,45,10,2.983123540878296,2,1,12
104,25,30,45,10,4.608346939086914,1,1,13
105,25,30,45,10,2.917147636413574,2,1,13
106,25,30,45,10,5.014096975326538,1,1,14
107,25,30,45,10,2.9803175926208496,2,1,14
108,25,30,50,10,4.106549263000488,1,1,6
109,25,30,50,10,2.610604763031006,2,1,6
110,25,30,50,10,4.2309136390686035,1,1,7
111,25,30,50,10,2.5789682865142822,2,1,7
112,25,30,50,10,4.452436685562134,1,1,8
113,25,30,50,10,2.8627562522888184,2,1,8
114,25,30,50,10,4.143698453903198,1,1,9
115,25,30,50,10,2.6671600341796875,2,1,9
116,25,30,50,10,5.707364797592163,1,1,10
117,25,30,50,10,3.28306245803833,2,1,10
118,25,30,50,10,4.569621324539185,1,1,11
119,25,30,50,10,3.0379512310028076,2,1,11
120,25,30,50,10,3.898850679397583,1,1,12
121,25,30,50,10,2.4539284706115723,2,1,12
122,25,30,50,10,3.7785415649414062,1,1,13
123,25,30,50,10,2.3897759914398193,2,1,13
124,25,30,50,10,3.728093385696411,1,1,14
125,25,30,50,10,2.3529982566833496,2,1,14
126,25,30,55,10,3.9962127208709717,1,1,6
127,25,30,55,10,2.5253701210021973,2,1,6
128,25,30,55,10,4.046279668807983,1,1,7
129,25,30,55,10,2.5553581714630127,2,1,7
130,25,30,55,10,4.062759637832642,1,1,8
131,25,30,55,10,2.573928117752075,2,1,8
132,25,30,55,10,4.088455438613892,1,1,9
133,25,30,55,10,2.588805913925171,2,1,9
134,25,30,55,10,4.002514362335205,1,1,10
135,25,30,55,10,2.5308070182800293,2,1,10
136,25,30,55,10,4.04883337020874,1,1,11
137,25,30,55,10,2.5513172149658203,2,1,11
138,25,30,55,10,3.98441481590271,1,1,12
139,25,30,55,10,2.515717029571533,2,1,12
140,25,30,55,10,4.0632429122924805,1,1,13
141,25,30,55,10,2.5626380443573,2,1,13
142,25,30,55,10,4.376194000244141,1,1,14
143,25,30,55,10,2.8146278858184814,2,1,14
144,25,30,60,10,4.3885698318481445,1,1,6
145,25,30,60,10,2.7696263790130615,2,1,6
146,25,30,60,10,4.945350408554077,1,1,7
147,25,30,60,10,3.0227952003479004,2,1,7
148,25,30,60,10,4.571874618530273,1,1,8
149,25,30,60,10,2.8957631587982178,2,1,8
150,25,30,60,10,4.492374897003174,1,1,9
151,25,30,60,10,2.836792230606079,2,1,9
152,25,30,60,10,4.425470590591431,1,1,10
153,25,30,60,10,2.787139415740967,2,1,10
154,25,30,60,10,4.373683929443359,1,1,11
155,25,30,60,10,2.7517480850219727,2,1,11
156,25,30,60,10,4.5892815589904785,1,1,12
157,25,30,60,10,2.809797763824463,2,1,12
158,25,30,60,10,4.50359320640564,1,1,13
159,25,30,60,10,2.840590000152588,2,1,13
160,25,30,60,10,4.545542478561401,1,1,14
161,25,30,60,10,2.8678715229034424,2,1,14
162,25,30,65,10,4.846762657165527,1,1,6
163,25,30,65,10,3.0840725898742676,2,1,6
164,25,30,65,10,4.799281597137451,1,1,7
165,25,30,65,10,3.0261874198913574,2,1,7
166,25,30,65,10,4.856060028076172,1,1,8
167,25,30,65,10,3.027534246444702,2,1,8
168,25,30,65,10,4.932653188705444,1,1,9
169,25,30,65,10,3.1433968544006348,2,1,9
170,25,30,65,10,5.453913927078247,1,1,10
171,25,30,65,10,3.466654062271118,2,1,10
172,25,30,65,10,5.415491819381714,1,1,11
173,25,30,65,10,3.5138823986053467,2,1,11
174,25,30,65,10,5.729705572128296,1,1,12
175,25,30,65,10,3.477853775024414,2,1,12
176,25,30,65,10,7.709913492202759,1,1,13
177,25,30,65,10,4.760511159896851,2,1,13
178,25,30,65,10,5.2622270584106445,1,1,14
179,25,30,65,10,3.3540070056915283,2,1,14
180,25,30,70,10,5.235677242279053,1,1,6
181,25,30,70,10,3.2915496826171875,2,1,6
182,25,30,70,10,5.1552414894104,1,1,7
183,25,30,70,10,3.254964590072632,2,1,7
184,25,30,70,10,5.225668668746948,1,1,8
185,25,30,70,10,3.2897238731384277,2,1,8
186,25,30,70,10,5.252161264419556,1,1,9
187,25,30,70,10,3.3262436389923096,2,1,9
188,25,30,70,10,5.135992050170898,1,1,10
189,25,30,70,10,3.2455642223358154,2,1,10
190,25,30,70,10,5.140352010726929,1,1,11
191,25,30,70,10,3.215815544128418,2,1,11
192,25,30,70,10,4.981310606002808,1,1,12
193,25,30,70,10,3.1215596199035645,2,1,12
194,25,30,70,10,4.83426833152771,1,1,13
195,25,30,70,10,3.0277602672576904,2,1,13
196,25,30,70,10,4.724602460861206,1,1,14
197,25,30,70,10,2.97855281829834,2,1,14
